Participant	Identifier	Condition	Chain	Generation	Trial	SequenceTrace	SequencePosition	TargetCharacter	ProducedCharacter	T.x	T.y	P.x	P.y	CharRT	CharError	TargetArea	ProductionArea
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	5	9	2	j	c	170.8029197080292	112.99270072992701	239.25	89.5	2630	37.80385609812145	668.2981841814726	2152.8501229006333
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	5	9	3	4	Ï	204.96350364963504	63.065693430656935	195.25	268.5	41327	14.542905971777252	9982.910451859594	791.32318150844
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	6	4	1	F	F	110.36496350364963	189.1970802919708	106.25	192.5	84384	0	1462.441927158945	1462.441927158945
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	6	4	2	.	.	115.62043795620438	223.35766423357666	31.25	291.5	5207	0	10838.732100053028	10838.732100053028
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	6	4	3	i	â	160.2919708029197	162.91970802919707	159.25	44.5	2070	33.3114930033942	766.8239604591599	3378.0008691937137
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	7	2	1	.	.	115.62043795620438	223.35766423357666	106.25	237.5	22182	0	10838.732100053028	10838.732100053028
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	7	2	2	J	Å	197.08029197080293	249.63503649635035	294.25	324.5	5589	33.885170494262105	1005.8276896939824	276.86198078004236
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	7	2	3	8	U	178.68613138686132	310.0729927007299	168.25	259.5	7513	43.77774229978259	897.1808769287345	653.0295699337657
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	8	8	1	Z	è	94.5985401459854	155.03649635036496	80.25	109.5	30126	10.827933680353244	499.6748361970758	373.63400207759514
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	8	8	2	æ	6	102.48175182481752	105.1094890510949	265.25	327.5	6026	33.94942202941378	461.24732857816025	528.5632883372527
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	8	8	3	Ê	Ê	173.43065693430657	325.83941605839414	146.25	317.5	10120	0	7442.570895006174	7442.570895006174
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	9	11	1	F	F	110.36496350364963	189.1970802919708	87.25	190.5	2720	0	1462.441927158945	1462.441927158945
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	9	11	2	F	F	110.36496350364963	189.1970802919708	87.25	190.5	439	0	1462.441927158945	1462.441927158945
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	9	11	3	3	4	346.86131386861314	89.34306569343066	225.25	44.5	3032	68.83767188675755	10574.274574446246	9982.910451859594
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	10	1	1	Ã	i	218.1021897810219	323.2116788321168	153.25	156.5	20568	31.04104666708741	443.576980919217	766.8239604591599
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	10	1	2	=	Ù	247.007299270073	278.54014598540147	60.25	26.5	6326	28.2452816671489	288.8689428935322	354.6232434754461
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	10	1	3	s	V	270.6569343065693	183.94160583941607	297.25	337.5	2362	23.386191336375557	965.3767393534145	795.0170449355501
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	11	6	1	9	f	162.91970802919707	283.7956204379562	98.25	139.5	1461	119.3697247074093	2188.315431957333	411.29398255586057
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	11	6	2	0	.	176.05839416058393	199.7080291970803	15.25	255.5	4608	29.39566669210372	649.2213749038219	10838.732100053028
D437BnPHwv1y4dr3XXer	easy_GEN_4_M	easy	M	4	11	6	3	4	4	204.96350364963504	63.065693430656935	268.25	66.5	2317	0	9982.910451859594	9982.910451859594
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	0	8	1	3	z	346.86131386861314	89.34306569343066	316.25	143.5	6518	61.153086476998354	10574.274574446246	2723.978246658815
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	0	8	2	c	c	228.61313868613138	120.87591240875912	253.25	88.5	2621	0	2152.8501229006333	2152.8501229006333
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	0	8	3	r	U	141.8978102189781	204.96350364963504	165.25	264.5	4235	31.123015896153206	304.9852043064675	653.0295699337657
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	1	6	1	G	T	139.27007299270073	194.45255474452554	116.25	291.5	38922	34.82497579620953	540.4904710381234	3763.3974019325033
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	1	6	2	T	W	152.4087591240876	265.4014598540146	316.25	260.5	2488	30.534548450054253	3763.3974019325033	582.7723222772329
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	1	6	3	c	c	228.61313868613138	120.87591240875912	247.25	109.5	14806	0	2152.8501229006333	2152.8501229006333
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	2	10	1	â	P	126.13138686131387	68.32116788321167	261.25	288.5	100933	41.44971752073625	3378.0008691937137	501.61971143724804
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	2	10	2	R	T	81.45985401459853	152.4087591240876	71.25	320.5	15047	51.28592087241585	417.3325992562159	3763.3974019325033
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	2	10	3	x	c	278.54014598540147	168.17518248175182	250.25	113.5	3629	62.24158729676101	1087.3408903039654	2152.8501229006333
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	3	5	1	K	N	289.05109489051097	218.1021897810219	319.25	208.5	72669	35.282660049943814	1079.1280067864282	650.3998003953966
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	3	5	2	c	c	228.61313868613138	120.87591240875912	253.25	105.5	24304	0	2152.8501229006333	2152.8501229006333
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	3	5	3	Z	8	94.5985401459854	155.03649635036496	184.25	297.5	19827	15.914601479056396	499.6748361970758	897.1808769287345
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	4	1	1	S	k	68.32116788321167	157.66423357664235	315.25	176.5	35555	51.28592087241585	6457.818643734893	1551.9506220520198
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	4	1	2	Ë	ã	189.1970802919708	336.35036496350364	74.25	20.5	3570	44.594182716062924	1116.5444255110233	2167.2126952168687
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	4	1	3	3	T	346.86131386861314	89.34306569343066	147.25	278.5	12897	1.0459965227756927	10574.274574446246	3763.3974019325033
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	5	0	1	c	d	228.61313868613138	120.87591240875912	177.25	125.5	43371	44.39623072012948	2152.8501229006333	818.866898041646
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	5	0	2	3	Í	346.86131386861314	89.34306569343066	296.25	304.5	27475	61.153086476998354	10574.274574446246	296.5906825714046
2qFHuxweTvMxtXdku63u	easy_GEN_4_S	easy	S	4	5	0	3	-	k	199.7080291970803	220.72992700729927	297.25	161.5	3987	18.97598626019847	1332.4525734768504	1551.9506220520198
